,Opening,Opening.1,Title,Director,Cast,Studio (production house),Ref.
49,JUN,12.0,Gulabo Sitabo,Shoojit Sircar,Farrukh JaffarAmitabh BachchanAyushmann KhurranaVijay RaazBrijendra KalaNalneesh Neel,"Rising Sun Films, Kino Works, Amazon Prime Video",[68]
50,JUN,18.0,Kadakh,Rajat Kapoor,Kalki KoechlinRanvir ShoreyShruti SethManoj PahwaTara SharmaCyrus SahukarMansi Multani,"Mithya Talkies, Sony LIV",[69]
51,JUN,19.0,Chaman Bahaar,Apurva Dhar Badgaiyann,Jitendra KumarRitika Badiani,"Saregama India, Yoodlee films",[70]
52,JUN,24.0,Bulbbul,Anvita Dutt,Tripti DimriAvinash TiwaryRahul BoseParambrata ChatterjeePaoli Dam,"Clean Slate Films, Netflix",[71]
53,JUN,26.0,Bhonsle,Devashish Makhija,Manoj BajpayeeSantosh JuvekarIpshita Chakraborty SinghAbhishek Banerjee,"Muvizz, Sony LIV",[72]
54,JUN,27.0,Unlock,Debatma Mandal,Kushal TandonHina KhanRishabh SinhaAditi Arya,"Krasnaya Corporation, Wind Horse Films, ZEE5",[73]
55,JUL,16.0,Virgin Bhanupriya,Ajay Lohan,Urvashi RautelaGautam Gulati,"Dhariwal Films, ZEE5",[74]
56,JUL,24.0,Dil Bechara,Mukesh Chhabra,Sushant Singh RajputSanjana SanghiSaif Ali Khan,"Fox Star Studios, Disney+ Hotstar",[75]
57,JUL,30.0,Yaara,Tigmanshu Dhulia,Vidyut JammwalShruti HaasanAmit SadhVijay VarmaKenny Basumatary,"Tigmanshu Dhulia Films, Azure Entertainment, ZEE5",[76]
58,JUL,31.0,Shakuntala Devi,Anu Menon,Vidya BalanJisshu SenguptaSanya MalhotraAmit Sadh,"Abundantia Entertainment, Sony Pictures Networks India, A Genius Films Production, Amazon Prime Video",[77]
59,JUL,31.0,Lootcase,Rajesh Krishnan,Kunal KhemuRasika DugalVijay RaazRanvir ShoreyGajraj RaoAryan PrajapatiShashi RanjanSumit Nijhawan,"Fox Star Studios, Soda Films, Disney+ Hotstar",[78]
60,JUL,31.0,Raat Akeli Hai,Honey Trehan,Nawazuddin SiddiquiRadhika ApteShweta TripathiIla ArunShivani RaghuvanshiAditya SrivastavaTigmanshu DhuliaSwanand Kirkire,"RSVP Movies, Netflix",[79]
61,AUG,6.0,Pareeksha,Prakash Jha,Adil HussainPriyanka BoseSanjay Suri,"Prakash Jha Productions, ZEE5",[80]
62,AUG,12.0,Gunjan Saxena: The Kargil Girl,Sharan Sharma,Janhvi KapoorPankaj TripathiAngad BediVineet Kumar SinghManav Vij,"Dharma Productions, Zee Studios, Netflix",[81]
63,AUG,14.0,Khuda Haafiz,Faruk Kabir,Vidyut JammwalShivaleeka OberoiAnnu KapoorShiv PandittAahana Kumra,"Panorama Studios, Disney+ Hotstar",[82]
64,AUG,21.0,Captain Vidyut,Atish Tipathi,Namit DasSuresh MenonTrisha KaleRaghuvir Yadav,Parijat Animation Films,[83]
65,AUG,21.0,Class of '83,Atul Sabharwal,Bobby DeolBhupendra JadawatHitesh BhojrajAnup SoniJoy SenguptaSameer ParanjapeNinad MahajaniPrithvik Pratap,"Red Chillies Entertainment, Netflix",[84]
66,AUG,21.0,Mee Raqsam,Baba Azmi,Naseeruddin ShahDanish HusainAditi SubediShradha KaulRakesh Chaturvedi,"AZMI Pictures, ZEE5",[85]
67,AUG,28.0,Sadak 2,Mahesh Bhatt,Sanjay DuttPooja BhattAlia BhattAditya Roy Kapur,"Vishesh Films, Fox Star Studios, Disney+ Hotstar",[86]
68,AUG,28.0,Ram Singh Charlie,Nitin Kakkar,Kumud MishraDivya DuttaAkarsh KhuranaFarrukh SeyerSalima RazaRohit Rokhade,"Little Too Much Productions, Sony Liv",[87]
69,SEP,5.0,Atkan Chatkan,Shiv Hare,Sachin ChaudharyYash RaneTamanna Dipak,"Lokaa Entertainment, ZEE5",[88]
70,SEP,9.0,Cargo,Arati Kadav,Vikrant MasseyShweta Tripathi,"Fundamental Pictures, Electric Films, Netflix",[89]
71,SEP,18.0,Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,Konkona Sen SharmaBhumi PednekarAmol ParasharAamir BashirKubbra SaitKaran KundraVikrant MasseyMushtaq Khan,"Balaji Motion Pictures, ALT Entertainment, Netflix",[90]
72,SEP,18.0,London Confidential,Kanwal Sethi,Mouni RoyPurab KohliKulraj RandhawaSagar AryaParvesh RanaJas BinagDiljohn SinghKiren Jog,"JAR Pictures, ZEE5",[91]
73,SEP,21.0,Halahal,Randeep Jha,Sachin KhedekarBarun Sobti,"Eros International, Eros Now",[92]
74,21,,,,,,
75,OCT,2.0,Khaali Peeli,Maqbool Khan,Ishaan KhatterAnanya PandayJaideep Ahlawat,"Zee Studios, Offside Entertainment, Zee Plex, ZEE5",[93]
76,OCT,2.0,Serious Men,Sudhir Mishra,Nawazuddin SiddiquiAakshath DasShweta Basu PrasadNassarIndira Tiwari,"Bombay Fables, Cineraas Entertainment, Netflix",[94]
77,OCT,2.0,Bahut Hua Samman,Ashish R Shukla,Raghav JuyalAbhishek ChauhanSanjay MishraRam KapoorNidhi SinghNamit DasFlora Saini,"Yoodlee films, Disney+ Hotstar",[95]
78,OCT,9.0,Ginny Weds Sunny,Puneet Khanna,Yami GautamVikrant Massey,"Soundrya Production, Netflix",[96]
79,OCT,16.0,The Pickup Artist,Rohit Arora,Dev ChauhanPankaj Uniyal,Roar Picture Company,[97]
80,OCT,21.0,Comedy Couple,Nachiket Samant,Saqib SaleemShweta Basu Prasad,"Yoodlee films, ZEE5",[98]
81,OCT,23.0,Kasaai,Gajendra Shrotriya,Mita VasishtMayur MoreAmit Bimrot,ShemarooMe,[99]
82,OCT,29.0,Taish,Bejoy Nambiar,Pulkit SamratKriti KharbandaJim SarbhHarshvardhan RaneZoa MoraniSanjeeda SheikhAbhimanyu SinghAnkur Rathee,"Ease My Trip, Getaway Pictures Presentation, A Crayon Films Production, ZEE5",[100]
83,OCT,30.0,Kaali Khuhi,Terrie Samundra,Shabana AzmiSatyadeep MishraRiva AroraSanjeeda Sheikh,"Manomay Motion Pictures, Netflix",[101]
84,NOV,6.0,Pepper Chicken,Ratan Sil Ram,Dipannita SharmaBoloram DasBaharul IslamRavi SarmaMonuj Borkotoky,"RKZ Films, North-East Film Studio, ShemarooMe",[102]
85,NOV,9.0,Laxmii,Raghava Lawrence,Akshay KumarKiara Advani,"Cape of Good Films, Fox Star Studios, Shabinaa Entertainment, Tushar Entertainment House, Disney+ Hotstar",[103]
86,NOV,12.0,Ludo,Anurag Basu,Abhishek BachchanRajkummar RaoAditya Roy KapurFatima Sana ShaikhSanya MalhotraPankaj TripathiRohit Suresh SarafPearle MaaneyAsha NegiInayat VermaShalini Vats,"T-Series, Anurag Basu Productions, Netflix",[104]
87,NOV,13.0,Chhalaang,Hansal Mehta,Rajkummar RaoNushrat Bharucha,"T-Series, Luv Films, Ajay Devgn FFilms, Amazon Prime Video",[105]
88,NOV,13.0,Namumkin Tere Bin Jeena,Hidayat Khan,Anmol ChopraChristeenaBiju Rehana Khan,"Trisha Raj Films Pvt.Ltd, Zaid Corporation Company, Shamshad Pathan Films",[106]
89,NOV,13.0,Sir,Rohena Gera,Tillotama ShomeVivek Gomber,Platoon Films,[107]
90,NOV,15.0,Suraj Pe Mangal Bhari,Abhishek Sharma,Manoj BajpayeeDiljit DosanjhFatima Sana Shaikh,Zee Studios,[108]
91,NOV,20.0,Anwar Ka Ajab Kissa,Buddhadeb Dasgupta,Nawazuddin SiddiquiAnanya ChatterjeePankaj TripathiNiharika Singh,"Eros International, Eros Now",[109]
92,DEC,4.0,Darbaan,Bipin Nadkarni,Sharib HashmiSharad KelkarFlora SainiRasika Dugal,"Opticus Picture Company, ZEE5",[110]
