,Title,Director,Cast,Genre
46,Gangotri,Abhishek Chhadha,"Amitabh Bachchan, Bhumika Chawla",Drama
47,Gauri: The Unborn,Akku Akbar,"Rituparna Sengupta, Atul Kulkarni",Horror
48,Go,Manish Shrivastava,"Nisha Kothari, Kay Kay Menon, Rajpal Yadav","Romance, Drama"
49,"Good Boy, Bad Boy",Ashwini Chaudhary,"Emraan Hashmi, Tusshar Kapoor, Isha Sharvani, Tanushree Dutta, Paresh Rawal",Comedy
50,Guru,Mani Ratnam,"Abhishek Bachchan, Aishwarya Rai, Mithun Chakraborty, Vidya Balan, R. Madhavan","Drama, Romance"
51,Har Pal,Jahnu Barua,"Preity Zinta, Shiney Ahuja, Dharmendra, Isha Koppikar",Romance
52,Hastey Hastey,Tonny,"Jimmy Sheirgill, Rajpal Yadav, Nisha Rawal, Monishka",Comedy
53,Hattrick,Milan Luthria,"Paresh Rawal, Rimi Sen, Kunal Kapoor, Nana Patekar, Danny Denzongpa",Comedy
54,Heyy Babyy,Sajid Khan,"Akshay Kumar, Riteish Deshmukh, Fardeen Khan, Vidya Balan, Boman Irani, Anupam Kher","Comedy, Drama, Romance"
55,Honeymoon Travels Pvt. Ltd.,Reema Kagti,"Shabana Azmi, Boman Irani, Amisha Patel, Sandhya Mridul, Diya Mirza, Minissha Lamba, Kay Kay Menon, Arjun Rampal, Ranvir Shorey, Raima Sen, Karan Khanna, Vikram Chatwal, Abhay Deol","Comedy, Drama, Romance"
56,Jab We Met,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Pawan Malhotra, Dara Singh","Romance, comedy"
57,Jahan Jaaeyega Hamen Paaeyega,Janmendra Ahuja,"Govinda, Sakshi Sivanand",Comedy
58,Jhoom Barabar Jhoom,Shaad Ali,"Abhishek Bachchan, Preity Zinta, Bobby Deol, Lara Dutta, Amitabh Bachchan","Romance, Comedy"
59,Johnny Gaddaar,Sriram Raghavan,"Neil Mukesh, Dharmendra, Vinay Pathak, Zakir Hussain, Rimi Sen, Dayanand Shetty",Thriller
60,Just Married,Meghna Gulzar,"Fardeen Khan, Esha Deol","Drama, Romance, Social, Comedy"
61,Kaafila,Ammtoje Mann,Sunny Deol,"Action, Patriotic"
62,Khoya Khoya Chand,Sudhir Mishra,"Shiney Ahuja, Soha Ali Khan","Romance, Drama"
63,Kya Love Story Hai,Lovely Singh,"Tusshar Kapoor, Ayesha Takia",Romance
64,Laaga Chunari Mein Daag,Pradeep Sarkar,"Jaya Bachchan, Rani Mukerji, Abhishek Bachchan, Konkona Sen Sharma, Kunal Kapoor, Anupam Kher",Drama
65,Life in a... Metro,Anurag Basu,"Dharmendra, Irrfan Khan, Kay Kay Menon, Sharman Joshi, Shiney Ahuja, Shilpa Shetty, Kangana Ranaut, Konkana Sen Sharma",Drama
66,Life Mein Kabhie Kabhiee,Vikram Bhatt,"Dino Morea, Aftab Shivdasani, Anjori Alagh, Nauheed Cyrusi, Sameer Dattani",Thriller
67,Loins of Punjab Presents,Manish Acharya,"Shabana Azmi, Ayesha Dharker, Ajay Naidu","Musical, Drama"
68,Manorama Six Feet Under,Navdeep Singh,"Abhay Deol, Raima Sen, Gul Panag",Thriller
69,Marigold,Willard Carroll,"Salman Khan, Ali Larter, Nandana Sen",Romance
70,MP3: Mera Pehla Pehla Pyaar,Robby Grewal,"Ruslaan Mumtaz, Hazel Crowney",Romance
71,Mumbai Salsa,Manoj Tyagi,"Vir Das, Linda Arsenio, Manjari Phadnis, Dilip Thadeshwar","Romance, Drama"
72,My Bollywood Bride,Rajeev Virani,"Jason Lewis, Kashmera Shah",Romance
73,Namastey London,Vipul Amrutlal Shah,"Akshay Kumar, Katrina Kaif, Rishi Kapoor, Upen Patel, Riteish Deshmukh, Javed Sheikh, Clive Standen, Nina Wadia","Romance, Comedy, Drama, Social"
74,The Namesake,Mira Nair,"Tabu, Irrfan Khan, Kal Penn",Drama
75,Nanhe Jaisalmer,Samir Karnik,"Bobby Deol, Dwij Yadav, Katrina Kaif, Sharat Saxena",Drama
76,Naqaab,Abbas Mustan,"Bobby Deol, Akshaye Khanna, Urvashi Sharma",Thriller
77,Nehlle Pe Dehlla,Ajay Chandhok,"Sanjay Dutt, Saif Ali Khan, Bipasha Basu, Kim Sharma",Comedy
78,Nishabd,Ram Gopal Varma,"Amitabh Bachchan, Jiah Khan, Aftab Shivdasani",Drama
79,No Smoking,Anurag Kashyap,"John Abraham, Ayesha Takia, Paresh Rawal, Ranvir Shorey","Drama, Thriller"
