,Opening,Opening.1,Title,Director,Cast,Genre,Studio,Ref.
96,OCT,7,Mirzya,Rakeysh Omprakash Mehra,"Harshvardhan Kapoor, Saiyami Kher, Om Puri, Art Malik, K.K. Raina",Drama/romance,,[163]
97,OCT,7,MSG: The Warrior Lion Heart,"Gurmeet Ram Rahim Singh, Honeypreet Insan","Gurmeet Ram Rahim Singh, Honeypreet Insan, Charapreet Insan, Kainaat Insan, Garima Insan, Rajesh Insan, Sukhottam Insan, Ashok Insan, Bhushan Insan",Adventure,,[164]
98,OCT,7,Tutak Tutak Tutiya,A. L. Vijay,"Prabhu Deva, Tamannaah, Sonu Sood",Supernatural comedy,,
99,OCT,14,Anna,Shashank Udapurkar,"Shashank Udapurkar, Tanishaa Mukerji, Govind Namdeo, Rajit Kapur, Sharat Saxena, Kishor Kadam",Biographical,,[165]
100,OCT,14,Motu Patlu: King of Kings,Suhas D. Kadavand,"Saurav Chakraborty, Omi Sharma",Animation/comedy/adventure,,[166]
101,OCT,14,Beiimaan Love,Rajeev Chaudhary,"Sunny Leone, Rajneesh Duggal, Daniel Weber",Thriller,,[167]
102,OCT,14,Saat Uchakkey,Sanjeev Sharma,"Manoj Bajpayee, Anupam Kher, Kay Kay Menon, Annu Kapoor, Vijay Raaz, Aditi Sharma",Comedy,,
103,OCT,14,Fuddu,Sunil Subramani,"Swati Kapoor, Monali A, Pawan Kumar Sharma, Anurag Basu",Drama,,
104,OCT,14,Aakhir Kab Tak,Mithilesh Avinash,"Manisha Singh, Vinay Rana",Social drama,,[168]
105,OCT,21,Love Day - Pyaar Ka Din,"Sandeep Choudhary, Harish kotian","Ajaz khan, Sahil anand, Harsh nagar, Anant Mahadevan, Vaibhav Mathur, Shalu Singh, Amit khanna, Devendra Chauhan",Comedy thriller,,[169][170][171]
106,OCT,21,Umrika,Prashant Nair,"Prateik Babbar, Suraj Sharma, Tony Revolori, Adil Hussain, Nidhi Bisht",Drama,,[172]
107,OCT,21,31st October,Shivaji Lotan Patil,"Vir Das, Soha Ali Khan",Drama/thriller,,
108,OCT,21,My Father Iqbal,Suzad Iqbal Khan,"Narendra Jha, Komal Thacker, Paresh Mehta",,,
109,OCT,28,Shivaay,Ajay Devgn,"Ajay Devgn, Sayyeshaa, Erika Kaar, Ali Kazmi, Jabbz Farooqi, Vir Das, Bijou Thaangjam",Drama/action,,[173]
110,OCT,28,Ae Dil Hai Mushkil,Karan Johar,"Ranbir Kapoor, Aishwarya Rai, Fawad Khan , Imran Abbas, Lisa Haydon",Drama,"Fox Star Studios, Dharma Productions",[174]
111,NOV,11,Chaar Sahibzaade: Rise of Banda Singh Bahadur,Harry Baweja,Harman Baweja,Animation,,[175]
112,NOV,11,Dongri Ka Raja,Hadi Ali Abrar,"Gashmeer Mahajani, Reecha Sinha, Ronit Roy, Sachin Suvarna, Ashmit Patel",Action/thriller,,[176]
113,NOV,11,Ishq Junoon,Sanjay Sharma,"Rajbeer Singh, Akshay Rangshahi, Divya Singh, Raj Aryan",Romantic/erotic,,[177]
114,NOV,11,Rock On 2,Sujaat Saudagar,"Farhan Akhtar, Arjun Rampal, Purab Kohli, Shraddha Kapoor, Prachi Desai, Shashank Arora, Shahana Goswami",Drama,,[178]
115,NOV,18,Tum Bin II,Anubhav Sinha,"Neha Sharma, Aditya Seal, Aashim Gulati",Romance,,[179]
116,NOV,18,Force 2,Abhinay Deo,"John Abraham, Sonakshi Sinha, Tahir Raj Bhasin",Action,"Sunshine Pictures Pvt. Ltd, J.A. Entertainment, Viacom 18 Motion Pictures||[180]",
117,NOV,25,Dear Zindagi,Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Ira Dubey, Kunal Kapoor",Drama,,
118,NOV,25,Saansein,Rajiv S. Ruia,"Rajneesh Duggal, Sonarika Bhadoria, Hiten Tejwani, Neetha Shetty, Sachi Ruia, Amir Dalvi, Vishal Malhotra",Romantic/horror,,[181][182]
119,NOV,25,Moh Maya Money,Munish Bharadwaj,"Ranvir Shorey, Neha Dhupia, Vidhushi Mehra, Ashwat Bhatt",Crime drama,,[183]
120,DEC,2,Kahaani 2,Sujoy Ghosh,"Vidya Balan, Arjun Rampal, Jugal Hansraj",Thriller,,[184]
121,DEC,9,Befikre,Aditya Chopra,"Ranveer Singh, Vaani Kapoor",Romance,,[185]
122,DEC,16,Wajah Tum Ho,Vishal Pandya,"Sana Khan, Sharman Joshi, Gurmeet Choudhary",Romance/drama,,[186]
123,DEC,23,Dangal,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Zaira Wasim",Biopic,UTV Motion Pictures,[187][188]
