,Opening,Opening.1,Title,Director,Cast,Genre,Source
125,NOV,7.0,A Decent Arrangement,Sarovar Banka,"Shabana Azmi, Adam Laupus, Lethia Nall, Farid Currim, Shreya Sharma, Vikram Kapadia, Navniit Nisshan, Adhir Bhat",Drama,[123]
126,NOV,7.0,The Shaukeens,Abhishek Sharma,"Akshay Kumar, Anupam Kher, Annu Kapoor, Lisa Haydon, Piyush Mishra",Comedy,[124]
127,NOV,14.0,6 – 5 = 2,Bharat Jain,"Prashanth Gupta, Niharica Raizada, Ashruth Jain, Gaurav Kothari, Disha Kapoor",Found footage / Horror,[125]
128,NOV,14.0,Kill Dil,Shaad Ali,"Ranveer Singh, Parineeti Chopra, Ali Zafar, Govinda",Romance/Drama,[126]
129,NOV,21.0,Gollu Aur Pappu,Kabir Sadanand,"Vir Das, Kunaal Roy Kapur, Shobhit Rana, Dimple Kapadia, Deepak Tijori",Comedy,[127]
130,NOV,21.0,Happy Ending,Raj Nidimoru and Krishna DK,"Saif Ali Khan, Ileana D'Cruz, Govinda, Ranvir Shorey, Kalki Koechlin",Romance/Comedy,[128]
131,NOV,21.0,Titoo MBA,Amit Vats,"Nishant Dahiya, Pragya Jaiswal, Abhishek Kumar",Romance/Comedy,[129]
132,NOV,21.0,Wah Taj,Ajit Sinha,"Shreyas Talpade, Manjari Fadnis, Hemant Pandey, Rajesh Sharma, Vishwajeet Pradhan, Rakesh Shrivastav",Drama,[130]
133,NOV,28.0,Hum Hai Teen Khurafaati,Rajeshwar Chauhan,"Heena Panchal, Mausam Sharma, Pranshu Kaushal, Shrey Chhabra, Vrajesh Hirjee, Hemant Pandey, Razzak Khan, Brijendra Kala, Manoj Bakshi",Comedy,[131]
134,NOV,28.0,Ungli,Rensil D'Silva,"Sanjay Dutt, Emraan Hashmi, Randeep Hooda, Kangana Ranaut, Neha Dhupia, Neil Bhoopalam, Angad Bedi, Arunoday Singh",Drama,[132]
135,NOV,28.0,Zed Plus,Chandraprakash Dwivedi,"Adil Hussain, Mona Singh, Mukesh Tiwari, Sanjay Mishra, Kulbhushan Kharbanda, Rahul Singh, Shivani Tanksale, K K Raina, Ekavali Khanna, Anil Rastogi",Drama,[133]
136,NOV,28.0,Zid,Vivek Agnihotri,"Karanvir Sharma, Mannara Chopra, Shraddha Das",Erotica/Thriller,[134]
137,DEC,5.0,Action Jackson,Prabhu Deva,"Ajay Devgn, Sonakshi Sinha, Yami Gautam, Manasvi Mamgai, Kunaal Roy Kapur",Comedy/Action,[135]
138,DEC,5.0,Bhopal: A Prayer for Rain,Ravi Kumar,"Martin Sheen, Mischa Barton, Rajpal Yadav, Tannishtha Chatterjee, Akhil Mishra, Fagun Thakrar, Joy Sengupta, Kal Penn, Martin Brambach, David Brooks, Vineet Kumar, Satish Kaushik, Vasanth Santosham, Manoj Joshi",Drama,[136]
139,DEC,5.0,Mumbai Delhi Mumbai,Satish Rajwade,"Shiv Panditt, Piaa Bajpai",Drama,[137]
140,DEC,5.0,Sulemani Keeda,Amit Masurkar,"Naveen Kasturia, Mayank Tewari, Aditi Vasudev",Social/Drama,[138]
141,DEC,12.0,Badlapur Boys,Shailesh Verma,"Shashank Udapurkar, Annu Kapoor, Anupam Maanav, Kishori Shahane, Aman Verma, Saranya Mohan",Sports,[139][140]
142,DEC,12.0,Life Mein Twist Hai,Dinesh Soni,Shyam Avtar Kedia,Drama/Romance,[141]
143,DEC,12.0,LUV...Phir Kabhie,Ajay Yadav,"Saurabbh Roy, Arijita Roy, Meghna Patel, Narendra Bedi",Drama,[142][143]
144,DEC,12.0,Main Aur Mr. Riight,Adeeb Rais,"Varun Khandelwal, Danny Saru, Shenaz Treasuryvala, Barun Sobti, Kavi Shastri, Maia Sethna, Anagha Mane, Neha Gosain",Comedy/Romance,[144][145]
145,DEC,12.0,Objection My God,Amit Khan,"Makrand Deshpande, Sanjay Mishra, Rajesh Khattar, Zarina Wahab",Comedy,[146][147][148]
146,DEC,12.0,Room – The Mystery,Faizal Khan,"Atif Jamil, Ibra Khan, Roselyn Dsouza, Eshu Gambhir, Himir Gandhi, Rohit Juneja, Shashwita Sharma",Suspense/Thriller,[149][150]
147,DEC,19.0,PK,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sushant Singh Rajput, Sanjay Dutt, Boman Irani, Saurabh Shukla",Comedy/Drama,[113]
148,DEC,26.0,Ugly,Anurag Kashyap,"Abir Goswami, Girish Kulkarni, Madhavi Singh, Ronit Roy, Anshikaa Shrivastava, Rahul Bhat, Tejaswini Kolhapure, Sandesh Jadhav",Thriller,[151]
