,Opening,Opening.1,Title,Director,Cast,Genre
0,JAN,4.0,Humne Jeena Seekh Liya,Milind Ukey,"Siddharth Chandekar, Mrunmayi Deshpande",Comedy
1,JAN,4.0,Rama Rama Kya Hai Dramaa?,S. Chandrakaant,"Rajpal Yadav, Neha Dhupia, Ashish Chaudhary, Amrita Arora, Anupam Kher, Rati Agnihotri, Alan Kapoor",Comedy
2,JAN,11.0,Halla Bol,Rajkumar Santoshi,"Ajay Devgn, Vidya Balan, Pankaj Kapur",Social
3,JAN,18.0,Bombay to Bangkok,Nagesh Kukunoor,"Shreyas Talpade, Lena Christensen","Comedy, Drama, Romance"
4,JAN,18.0,Tulsi,K. Ajay Kumar,"Irrfan Khan, Manisha Koirala, Arzoo Govitrikar",Drama
5,JAN,25.0,Sunday,Rohit Shetty,"Ajay Devgn, Ayesha Takia, Arshad Warsi, Irrfan Khan, Anjana Sukhani","Action, Comedy"
6,FEB,8.0,Superstar,Rohit Jugraj,"Kunal Khemu, Tulip Joshi, Aushima Sawhney, Reema Lagoo, Sharat Saxena",Drama
7,FEB,15.0,Jodhaa Akbar,Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Ila Arun","History, Romance"
8,MAR,7.0,Black & White,Subhash Ghai,"Anil Kapoor, Anurag Sinha, Shefali Chhaya, Aditi Sharma, Anurag Singh","Social, Drama, History"
9,MAR,21.0,Race,Abbas Mustan,"Saif Ali Khan, Akshaye Khanna, Katrina Kaif, Bipasha Basu, Anil Kapoor, Sameera Reddy","Crime, Thriller"
10,MAR,28.0,One Two Three,Ashwni Dhir,"Tusshar Kapoor, Paresh Rawal, Suniel Shetty, Esha Deol, Sameera Reddy, Upen Patel, Neetu Chandra, Tanishaa Mukerji","Comedy, Drama"
11,APR,4.0,Shaurya,Samar Khan,"Rahul Bose, Minissha Lamba, Javed Jaffrey, Kay Kay Menon, Amrita Rao",Drama
12,APR,11.0,Krazzy 4,Jaideep Sen,"Juhi Chawla, Arshad Warsi, Irrfan Khan, Suresh Menon, Rajpal Yadav, Dia Mirza",Comedy
13,APR,11.0,U Me Aur Hum,Ajay Devgn,"Ajay Devgn, Kajol, Karan Khanna, Isha Sharvani, Sumeet Raghavan, Divya Dutta",Romance
14,APR,11.0,Pehli Nazar Ka Pyaar,Arshad Khan,"Arbaaz Ali Khan, Vikas Anand, Rahul, Dinesh Hingoo, Tej Sapru",Romance
15,APR,25.0,Sirf,Rajaatesh Nayar,"Kay Kay Menon, Manisha Koirala, Ranvir Shorey, Sonali Kulkarni","Drama, Romance"
16,APR,25.0,Tashan,Vijay Krishna Acharya,"Akshay Kumar, Saif Ali Khan, Kareena Kapoor, Anil Kapoor","Action, Romance"
17,MAY,2.0,Mr. Black Mr. White,Deepak Shivdasani,"Sunil Shetty, Arshad Warsi",Comedy
18,MAY,2.0,Anamika,Anant Mahadevan,"Dino Morea, Minissha Lamba, Koena Mitra, Aarti Chabria, Gulshan Grover",Thriller
19,MAY,9.0,Jimmy,Raj N. Sippy,"Mimoh Chakraborty, Rati Agnihotri, Vikas Anand","Drama, Action, Crime, Thriller, Romance"
20,MAY,9.0,Bhoothnath,Vivek Sharma,"Amitabh Bachchan, Juhi Chawla, Shah Rukh Khan, Aman Siddiqui, Rajpal Yadav, Satish Shah, Ashish Chaudhary, Nauheed Cyrusi, Priyanshu Chatterjee, Shaana Diya","Comedy, Drama, Fantasy"
21,MAY,16.0,Jannat,Kunal Deshmukh,"Emraan Hashmi, Sonal Chauhan, Sameer Kochhar, Javed Shaikh","Drama, Romance"
22,MAY,23.0,Don Muthu Swami,Ashim Samanta,"Hrishita Bhatt, Mithun Chakraborty, Shakti Kapoor, Rohit Roy",Comedy
23,MAY,23.0,Ghatothkach,Singeetam Srinivasa Rao,,Fantasy
