,Opening,Opening.1,Title,Director,Cast,Genre
65,AUG,28.0,Toss,Ramesh Khatkar,"Prashant Raj Sachdev, Ashmit Patel, Rannvijay Singh",Thriller
66,AUG,28.0,Yeh Mera India,N. Chandra,"Anupam Kher, Perizaad Zorabian, Purab Kohli, Rajpal Yadav, Sarika, Seema Biswas",Social
67,SEP,4.0,Aagey Se Right,Indrajit Nattoji,"Shreyas Talpade, Shiv Panditt, Mahi Gill, Kay Kay Menon, Shruti Seth, Shenaz Treasurywala",Comedy
68,SEP,4.0,Chintu Ji,Ranjit Kapoor,"Rishi Kapoor, Priyanshu Chatterjee, Kulraj Randhawa",Comedy
69,SEP,4.0,Fox,Deepak Tijori,"Arjun Rampal, Sagarika Ghatge, Udita Goswami, Sunny Deol, Vipul Gupta",Drama
70,SEP,11.0,Aamras[8],Rupali Guha,"Jiya Sarang, Pari Sehgal, Rakhi Chadda, Sanya Balsara, Zarina Wahab, Reema, Sukanya Kulkarni, Shubhi, Vikram Kapadia, Usha Bachani, Sonali Sachdev, Meher, Sunil Sinha, Manoj Pahwa",Drama
71,SEP,11.0,Baabarr,Ashu Trikha,"Soham Deepak, Mithun Chakraborty, Urvashi Sharma",Action
72,SEP,11.0,Phir Kabhi,Pradeep Guha,"Mithun Chakraborty, Dimple Kapadia, Gulshan Grover, Rati Agnihotri",Drama
73,SEP,11.0,Vaada Raha,Samir Karnik,"Bobby Deol, Kangana Ranaut, Dwij Yadav, Atul Agnihotri",Romance
74,SEP,18.0,Dil Bole Hadippa!,Anurag Singh,"Rani Mukherjee, Shahid Kapoor, Anupam Kher, Dalip Tahil, Rakhi Sawant, Sherlyn Chopra","Romantic comedy, sports"
75,SEP,18.0,Wanted,Prabhu Deva,"Salman Khan, Ayesha Takia, Prakash Raj, Vinod Khanna, Mahesh Manjrekar","Action, romance"
76,SEP,18.0,Blue Oranges[9],Rajesh Ganguly,"Rajat Kapoor, Shishir Sharma, Aham Sharma, Puja Kanwal, Rati Agnihotri, Harsh Chhaya",Thriller
77,SEP,22.0,Phir Kabhi,V. K. Prakash,"Mithun Chakraborty, Dimple Kapadia, Rati Agnihotri",Romance
78,SEP,25.0,What's Your Raashee?,Ashutosh Gowarikar,"Harman Baweja, Priyanka Chopra",Romantic comedy
79,OCT,2.0,Do Knot Disturb,David Dhawan,"Govinda, Riteish Deshmukh, Lara Dutta, Sushmita Sen, Sohail Khan, Ranvir Shorey, Rajpal Yadav","Comedy, romance"
80,OCT,2.0,Wake Up Sid,Ayan Mukerji,"Ranbir Kapoor, Konkona Sen Sharma, Rahul Khanna, Anupam Kher",Romantic comedy
81,OCT,9.0,Acid Factory,Suparn Verma,"Dia Mirza, Fardeen Khan, Irrfan Khan, Manoj Bajpai, Dino Morea, Aftab Shivdasani, Danny Denzongpa, Gulshan Grover",Action
82,OCT,16.0,All the Best: Fun Begins,Rohit Shetty,"Sanjay Dutt, Ajay Devgn, Fardeen Khan, Bipasha Basu, Mugdha Godse",Comedy
83,OCT,16.0,Blue,Anthony D'souza,"Akshay Kumar, Sanjay Dutt, Lara Dutta, Zayed Khan, Katrina Kaif, Rahul Dev",Action
84,OCT,16.0,Main Aurr Mrs Khanna,Prem Soni,"Salman Khan, Kareena Kapoor, Sohail Khan, Deepika Padukone, Dino Morea, Preity Zinta, Nauheed Cyrusi, Yash Tonk, Bappi Lahiri","Drama, romance"
85,OCT,23.0,Bal Ganesh 2,Pankaj Sharma,,Animation
86,OCT,23.0,Fruit and Nut,Kunal Vijaykar,"Boman Irani, Cyrus Broacha, Mahesh Manjrekar, Dia Mirza",Comedy
87,OCT,23.0,Love Ka Tadka,A F Inam & Rajan Wagdhare,"Nauheed Cyrusi, Sameer Dattani",Romantic comedy
88,OCT,30.0,London Dreams,Vipul Shah,"Salman Khan, Ajay Devgn, Asin Thottumkal, Om Puri","Musical, social, drama, romance"
89,OCT,30.0,Aladin,Sujoy Ghosh,"Amitabh Bachchan, Sanjay Dutt, Jacqueline Fernandez, Riteish Deshmukh, Sahil Khan, Ratna Pathak Shah",Fantasy
90,NOV,6.0,Ajab Prem Ki Ghazab Kahani,Rajkumar Santoshi,"Ranbir Kapoor, Katrina Kaif, Upen Patel","Comedy, romance"
91,NOV,6.0,Jail,Madhur Bhandarkar,"Neil Nitin Mukesh, Mugdha Godse",Social
92,NOV,13.0,Tum Mile,Kunal Deshmukh,"Emraan Hashmi, Soha Ali Khan",Romance
93,NOV,13.0,Aao Wish Karein,Glenn Baretto,"Aftab Shivdasani, Aamna Shariff, Johnny Lever, Ritesh Deshmukh",Fantasy
94,NOV,20.0,Kurbaan,Rensil D'Silva,"Saif Ali Khan, Kareena Kapoor, Vivek Oberoi, Dia Mirza, Om Puri, Kirron Kher, Nauheed Cyrusi","Thriller, romance"
95,NOV,20.0,Shaabash! You Can Do It,Shankar Mondal,"Hitesh Agrawal, Mansi Dovhal, Sudesh Berry, Nasir Khan","Comedy, thriller, social"
96,NOV,20.0,Marega Salaa,Devang Dholkia,"Jimmy Sheirgill, Kim Sharma, Hrishita Bhatt, Rahul Handa",Action
97,NOV,27.0,De Dana Dan,Priyadarshan,"Akshay Kumar, Katrina Kaif, Sunil Shetty, Paresh Rawal, Neha Dhupia, Sameera Reddy",Comedy
98,DEC,3.0,Radio,Ishaan Trivedi,"Himesh Reshammiya, Shenaz Treasurywala, Sonal Sehgal",Musical
99,DEC,4.0,Paa,R. Balki,"Amitabh Bachchan, Abhishek Bachchan, Vidya Balan, Paresh Rawal","Drama, family"
100,DEC,11.0,Rocket Singh: Salesman of the Year,Shimit Amin,"Ranbir Kapoor, Gauahar Khan, Shazahn Padamsee, Prem Chopra",Comedy
101,DEC,18.0,"Raat Gayi, Baat Gayi?",Saurabh Shukla,"Rajat Kapoor, Vinay Pathak, Neha Dhupia, Navneet Nishan, Dalip Tahil, Anuradha Menon, Aamir Bashir, Iravati Harshe",Drama
102,DEC,25.0,3 Idiots,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Sharman Joshi, R. Madhavan, Boman Irani, Omi Vaidya",Comedy
103,DEC,31.0,Accident on Hill Road,Mahesh Nair,"Celina Jaitly, Farooq Sheikh",Thriller
104,DEC,,,,,
105,DEC,,,,,
