,Opening,Opening.1,Title,Director,Cast,Genre,Source
52,MAY,31.0,Yeh Jawaani Hai Deewani,Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur, Kalki Koechlin, Evelyn Sharma, Kunal Roy Kapoor, Madhuri Dixit[54]",Romantic comedy,
53,JUN,7.0,Yamla Pagla Deewana 2,Sangeeth Sivan,"Dharmendra, Sunny Deol, Bobby Deol, Neha Sharma, Kristina Akheeva[55]",Comedy/Action,
54,JUN,7.0,Mere Haule Dost,Nitin Raghunath,"Anirudh Loka, Raghuvardhan Garlapati, Aadil Abedi",,
55,JUN,14.0,Fukrey,Mrigdeep Singh Lamba,"Pulkit Samrat, Manjot Singh, Ali Fazal, Richa Chadda, Vishakha Singh, Priya Anand, Pankaj Tripathi[56]",Comedy/Thriller,
56,JUN,14.0,Ankur Arora Murder Case,Suhail Tatari,"Kay Kay Menon, Paoli Dam, Arjun Mathur, Vishakha Singh, Harsh Chhaya[57]",Thriller,
57,JUN,21.0,Raanjhanaa,Anand L. Rai,"Dhanush, Sonam Kapoor, Abhay Deol, Swara Bhaskar, Mohammed Zeeshan Ayyub Khan[58]",Romance,
58,JUN,21.0,Enemmy,Ashu Trikha,"Mithun Chakraborty, Sunil Shetty, Mahakshay Chakraborty, Kay Kay Menon, Johnny Lever, Mahesh Manjrekar, Yuvika Chaudhary[59]",Action,
59,JUN,21.0,Shortcut Romeo,Susi Ganeshan,"Neil Nitin Mukesh, Ameesha Patel, Puja Gupta[60]",Romantic Thriller,
60,JUN,21.0,Hai Golmaal In White House,Salar Sheikh,"Rajpal Yadav, Govind Namdeo, Pratima Kazmi",Comedy/Drama,
61,JUN,28.0,Ghanchakkar,Rajkumar Gupta,"Emraan Hashmi, Vidya Balan, Rajesh Sharma[61]",Comedy/Thriller,
62,JUL,5.0,Lootera,Vikramaditya Motwane,"Ranveer Singh, Sonakshi Sinha[62]","Romance, Thriller",
63,JUL,5.0,Policegiri,K. S. Ravikumar,"Sanjay Dutt, Prakash Raj, Om Puri, Prachi Desai[63]",Action,
64,JUL,12.0,Bhaag Milkha Bhaag,Rakeysh Omprakash Mehra,"Farhan Akhtar, Sonam Kapoor, Divya Dutta, Pawan Malhotra[64]",Biographical,
65,JUL,12.0,Sixteen,Raj Purohit,"Izabelle Leite, Darshan Jariwala, Wamiqa Gabbi, Highphill Mathew, Rohan Mehra[65]",Drama,
66,JUL,12.0,B.A. Pass,Ajay Bahl,"Shilpa Shukla, Shadab Kamal, Rajesh Sharma[66]",Drama,
67,JUL,12.0,Boyss Toh Boyss Hain,Amit Vats,"Raj Kumar Yadav, Anshuman Jha, Divya Dutta, Sharat Saxena, Dhruv Ganesh, Aarya Kumar[67]",Comedy,
68,JUL,19.0,Ramaiya Vastavaiya,Prabhudeva,"Girish Kumar, Shruti Haasan[68]",Rom-Com,
69,JUL,19.0,D Day,Nikhil Advani,"Arjun Rampal, Rishi Kapoor, Shruti Haasan, Irrfan Khan, Huma Qureshi[69]","Action, Drama",
70,JUL,19.0,Ship of Theseus,Anand Gandhi,"Aida Al-Khashef, Niraj Kabi, Sohum Shah, Vinay Shukla[70]",Experimental,
71,JUL,26.0,Issaq,Manish Tiwary,"Prateik Babbar, Amyra Dastur, Rajeshwari Sachdev, Evelyn Sharma, Ravi Kishan, Makarand Deshpande[71]","Romance, Drama",
72,JUL,26.0,Bajatey Raho,Shashant Shah,"Vinay Pathak, Ranvir Shorey, Ravi Kishan, Dolly Ahluwalia[72]",Comedy,
73,JUL,26.0,Luv U Soniyo,Joe Rajan,"Tanuj Virwani, Neha Hinge[73]",Romance,
74,JUL,26.0,Nasha,Amit Saxena,"Poonam Pandey, Shivam, Ranbir Chakma[74]","Erotic, Thriller",
75,AUG,2.0,Rabba Main Kya Karoon,Amrit Sagar Chopra,"Arshad Warsi, Akash Chopra, Paresh Rawal[75]",Comedy,
76,AUG,2.0,Chor Chor Super Chor,K. Rajesh,"Deepak Dobriyal, Anshul Kataria, Priya Bathija, Paru Uma[76]",Comedy,
77,AUG,2.0,Calapor,Dinesh P. Bhonsle,"Rituparna Sengupta, Priyanshu Chatterjee, Raghubir Yadav, Harsh Chhaya[77]","Thriller, Drama",
78,AUG,2.0,Love in Bombay,Joy Mukherjee,"Joy Mukherjee, Waheeda Rehman, Rehman, Ashok Kumar[78]",Romance,
79,AUG,9.0,Chennai Express,Rohit Shetty,"Shah Rukh Khan, Deepika Padukone[79]","Comedy, Action",
80,AUG,15.0,Once Upon Ay Time In Mumbai Dobaara!,Milan Luthria,"Akshay Kumar, Imran Khan, Sonakshi Sinha, Sonali Bendre, Mahesh Manjrekar[80]","Crime, Romance",
81,AUG,23.0,Madras Cafe,Shoojit Sircar,"John Abraham, Nargis Fakhri","Drama, Spy",
82,AUG,30.0,Satyagraha,Prakash Jha,"Amitabh Bachchan, Ajay Devgn, Kareena Kapoor, Arjun Rampal, Amrita Rao, Manoj Bajpai[81]",Political Thriller,
83,SEP,6.0,Zanjeer,Apoorva Lakhia,"Ram Charan, Priyanka Chopra, Sanjay Dutt, Mahie Gill, Prakash Raj, Atul Kulkarni[82]","Action, Thriller",
84,SEP,6.0,Shuddh Desi Romance,Maneesh Sharma,"Sushant Singh Rajput, Parineeti Chopra, Vaani Kapoor, Rishi Kapoor[83]",Romance,
85,SEP,6.0,Zindagi Jalebi,Karan Kashyap,"Avinash Bhargava, Leena, Samarth Chaturvedi",Comedy,
86,SEP,7.0,Siddharth,Richie Mehta,Rajesh Tailang,Drama,
87,SEP,13.0,Grand Masti,Indra Kumar,"Riteish Deshmukh, Vivek Oberoi, Aftab Shivdasani, Karishma Tanna, Manjari Phadnis, Bruna Abdullah, Kainaat Arora[84]",Adult Comedy,
88,SEP,13.0,John Day,Ahishor Solomon,"Naseeruddin Shah, Randeep Hooda[85]",Thriller,
89,SEP,13.0,Horror Story,Ayush Raina,"Karan Kundra, Nishant Singh Malkani, Ravish Desai, Hasan Zaidi, Sheetal Singh, Aparna Bajpai, Radhika Menon, Nandini Vaid[86]",Horror,
90,SEP,20.0,Phata Poster Nikhla Hero,Rajkumar Santoshi,"Shahid Kapoor, Ileana D'Cruz, Parul Yadav, Padmini Kolhapure, Darshan Jariwala[87]","Rom Com, Action",
91,SEP,20.0,The Lunchbox,Ritesh Batra,"Irrfan Khan, Nawazuddin Siddiqui, Bharati Achrekar[88]",Drama,
92,SEP,27.0,Warning,Gurmmeet Singh,"Santosh Barmola, Suzana Rodrigues, Manjari Fadnis, Varun Sharma, Jitin Gulati, Sumit Suri, Madhurima Tuli[89]",Thriller,
93,SEP,27.0,Maazii,Jaideep Chopra,"Sumeet Nijhawan, Mona Wasu, Pankaj Tripathi, Mohd. Zeeshan Ayyub, Manish Chaudhary[90]",Suspense Thriller,
94,SEP,27.0,Prague,Ashish R Shukla,"Chandan Roy Sanyal, Elena Kazan, Arfi Lamba, Kumar Mayank[91]","Psychological Thriller, Romance",
95,SEP,27.0,Super Model,Navin Batra,"Veena Malik, Ashmit Patel, Jackie Shroff[92]",Drama,
96,OCT,2.0,Besharam,Abhinav Kashyap,"Ranbir Kapoor, Pallavi Sharda, Rishi Kapoor, Neetu Singh[93]",Comedy/Action,
97,OCT,11.0,War Chhod Na Yaar,Faraz Haider,"Sharman Joshi, Jaaved Jaaferi, Soha Ali Khan, Sanjay Mishra[94]",War comedy,
98,OCT,11.0,Baat Bann Gayi,Shuja Ali,"Ali Fazal, Gulshan Grover, Anisa[95]",Comedy,
99,OCT,11.0,Ekk Thee Sanam,Monish Kaushal,"Nisha Triloki, Rajender Thakur, Gopal Thakur[96]",Drama,
100,OCT,11.0,Paapi - Ek Satya Katha,Aziz Sejawal,"Arya Babbar, Prosenjit Chatterjee, Sayantika Banerjee, Pooja Bharti, Rajesh Sharma, Harish Patel[97]",Crime,
101,OCT,16.0,Boss,Anthony D'Souza,"Akshay Kumar, Mithun Chakraborty, Danny Denzongpa, Ronit Roy, Aditi Rao Hydari, Shiv Panditt, Johny Lever[98]",Masala,
102,OCT,18.0,Shahid,Hansal Mehta,"Rajkummar Rao, Tigmanshu Dhulia, Kay Kay Menon, Prabal Panjabi[99]",Drama/Biography,
103,OCT,25.0,Wake Up India,Babloo Seshadri,"Chirag Patil, Sai Tamhankar, Manoj Joshi, Aanjjan Srivastav, Mukesh Tiwari, Mohan Joshi, Milind Gunaji, Anant Jog, Adi Irani, Mushtaq Khan, Atul Parchure, Asrani, Anjula Singh Mahor[100]",Political/Drama,
104,OCT,25.0,Amdavad Junction,Apurv Bajpai,"Rohan Jardosh, Saurabh Singh, Gunjan Vyas, Touqeer Khan, Ishita Salot, Devendra Trivedi, Hitesh Patel, Swapna Nair[101]",Crime/Drama,
105,OCT,25.0,Dilli Gang,Ashish Tyagi,"Darshan Jariwala, Neena Kulkarni, Yashpal Sharma, Amir Dalvi, Asif Basra, Asif Ali[102]",Crime,
106,OCT,25.0,Mickey Virus,Saurabh Varma,"Manish Paul, Elli Avram, Varun Badola, Manish Chaudhary, Puja Gupta[103]",Comedy/Thriller,
107,OCT,25.0,Ishk Actually,Anish Khanna,"Rajeev Khandelwal, Rayo Bakhirta, Neha Ahuja, Ann Mitchai, Neha Ghelot, Siddharth Van Shipley[104]",Romance,
108,OCT,25.0,Sooper Se Ooper,Shekhar Ghosh,"Vir Das, Kirti Kulhari, Gulshan Grover, Deepak Dobriyal, Yashpal Sharma[105]",Comedy,
109,NOV,1.0,Krrish 3,Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra, Kangana Ranaut, Vivek Oberoi[106]",Superhero,
110,NOV,8.0,Satya 2,Ram Gopal Varma,"Puneet Singh Ratn, Anaika Soti,[107] Mahesh Thakur, Aradhna Gupta,[108][109] Raj Premi, Vikram Singh[110]",Crime,
111,NOV,15.0,Rajjo,Vishwas Patil,"Kangana Ranaut, Paras Arora, Mahesh Manjrekar, Prakash Raj, Jaya Prada",Romance,
112,NOV,15.0,Goliyon Ki Raasleela Ram-Leela,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Richa Chadda, Supriya Pathak[111]",Romance/Drama,
113,NOV,15.0,Kaand: Black Scandal,Santosh K. Gupta,"Suraj K. Shah, J. B. Rana, Dipanshi",Drama,
114,NOV,22.0,Gori Tere Pyaar Mein,Punit Malhotra,"Imran Khan, Kareena Kapoor, Shraddha Kapoor, Anupam Kher[112]",Romance/Comedy,
115,NOV,22.0,Singh Saab The Great,Anil Sharma,"Sunny Deol, Amrita Rao, Johny Lever, Urvashi Rautela[113]",Action,
116,NOV,29.0,Bullett Raja,Tigmanshu Dhulia,"Saif Ali Khan, Sonakshi Sinha, Jimmy Sheirgill, Vidyut Jamwal, Chunky Pandey[114]",Comedy/Crime/Romance,
117,DEC,6.0,R... Rajkumar,Prabhudeva,"Shahid Kapoor, Sonakshi Sinha, Sonu Sood, Asrani, Ashish Vidyarthi[115]",Action/Romance,
118,DEC,13.0,Jackpot,Kaizad Gustad,"Sachiin J Joshi, Naseeruddin Shah, Sunny Leone[116]",Thriller/Comedy,
119,DEC,13.0,What the Fish,Gurmmet Singh,"Dimple Kapadia, Manu Rishi, Manjot Singh, Anand Tiwari",Drama,
120,DEC,20.0,Dhoom 3,Vijay Krishna Acharya,"Aamir Khan, Abhishek Bachchan, Katrina Kaif, Uday Chopra, Jackie Shroff",Action,
121,20,,,,,,
