,Opening,Opening.1,Title,Director,Cast,Genre,Source
0,JAN,4.0,Table No. 21,Aditya Datt,"Paresh Rawal, Rajeev Khandelwal, Tina Desai",Thriller/Drama,[4]
1,JAN,4.0,Dehraadun Diary,Milind Ukey,"Adhyayan Suman, Rohit Bakshi, Ragini Nandwani, Ashwini Kalsekar, Rati Agnihotri",Thriller,[5]
2,JAN,4.0,Meri Shadi Karao,Comedy,Gurdeep Singh Mehndi,[6],Syed Noor
3,JAN,11.0,Matru Ki Bijlee Ka Mandola,Vishal Bhardwaj,"Imran Khan, Anushka Sharma, Pankaj Kapur",Comedy,[7]
4,JAN,11.0,Pyaar Mein Aisa Hota Hai,Rajesh Kumar,"Mohd Nazim, Aanamika Bawa, Rohit Rajawat, Aayushi Sharma",Thriller,[8]
5,JAN,11.0,Gangoobai,Priya Krishnaswamy,"Sarita Joshi, Purab Kohli, Mita Vasisht",Drama,[9]
6,JAN,18.0,Inkaar,Sudhir Mishra,"Arjun Rampal, Chitrangada Singh, Deepti Naval, Kanwaljit Singh",Romance/Crime,[10]
7,JAN,18.0,Mumbai Mirror,Ankush Bhatt,"Sachiin Joshi, Gihana Khan, Prakash Raj",Action,[11]
8,JAN,18.0,Bandook,Aditya Om,"Aditya Om, Manisha Kelkar, Arshad Khan",Crime,[12]
9,JAN,25.0,Race 2,Abbas-Mustan,"Saif Ali Khan, Jacqueline Fernandez, John Abraham, Deepika Padukone, Anil Kapoor, Ameesha Patel",Action/Thriller,[13]
10,JAN,25.0,Akaash Vani,Luv Ranjan,"Kartik Tiwari, Nushrat Bharucha",Romance,[14]
11,JAN,25.0,Main Krishna Hoon,Animation/Musical,"Hrithik Roshan, Juhi Chawla, Rajneesh Duggal, Misti Mukherjee, Katrina Kaif",[15],Rajiv S. Ruia
12,FEB,1.0,David,Bejoy Nambiar,"Vikram, Lara Dutta, Vinay Virmani, Neil Nitin Mukesh, Tabu",Crime,[16]
13,FEB,1.0,Vishwaroopam,Kamal Haasan,"Kamal Haasan, Pooja Kumar, Shekhar Kapur, Andrea Jeremiah, Rahul Bose",Action,[17]
14,FEB,1.0,Mai...,Mahesh Kodiyal,"Asha Bhosle, Ram Kapoor, Padmini Kolhapure",Drama/Family,[18]
15,FEB,1.0,Listen... Amaya,Avinash Kumar Singh,"Farooq Sheikh, Deepti Naval, Swara Bhaskar",Drama,[19]
16,FEB,8.0,Special 26,Neeraj Pandey,"Akshay Kumar, Kajal Aggarwal, Manoj Bajpayee, Anupam Kher, Jimmy Sheirgill[20]",Drama/Heist,
17,FEB,8.0,ABCD: Any Body Can Dance,Remo D'Souza,"Prabhu Deva, Ganesh Acharya, Kay Kay Menon, Lauren Gottlieb, Punit Pathak, Dharmesh Yelande, Salman Yusuff Khan",Drama/Dance,
18,FEB,8.0,The Unsound,Alok Shrivastava,"Shadaab Khan, Anurita Jha[21]",Thriller,
19,FEB,15.0,Jayantabhai Ki Luv Story,Vinnil Markan,"Vivek Oberoi, Neha Sharma[22]",Comedy/Romance,
20,FEB,15.0,Murder 3,Vishesh Bhatt,"Randeep Hooda, Aditi Rao Hydari, Mona Lizza",Thriller,[23]
21,FEB,22.0,Kai Po Che!,Abhishek Kapoor,"Sushant Singh Rajput, Rajkumar Rao, Amit Sadh, Amrita Puri",Drama,[24]
22,FEB,22.0,Zila Ghaziabad,Anand Kumar,"Arshad Warsi, Vivek Oberoi, Sanjay Dutt, Minissha Lamba, Ravi Kishan, Paresh Rawal",Action,[25]
23,MAR,1.0,"I, Me Aur Main",Kapil Sharma,"John Abraham, Prachi Desai, Chitrangda Singh",Romance/Comedy,[26]
24,MAR,1.0,Bloody Isshq,Arup Dutta,"Akash Singh, Shilpa Anand, Tripta Parashar",Romance/Thriller,[27]
25,MAR,1.0,The Attacks of 26/11,Ram Gopal Varma,Nana Patekar,Action/Thriller/Docudrama,[28]
26,MAR,8.0,"Saheb, Biwi Aur Gangster Returns",Tigmanshu Dhulia,"Jimmy Sheirgill, Mahie Gill, Irrfan Khan, Soha Ali Khan",Drama/Thriller,[29]
27,MAR,8.0,Saare Jahaan Se Mehnga,Anshul Sharma,"Sanjay Mishra, Ranjan Chhabra, Disha Pandey, Vishwa Mohan Badola, Pramod Pathak, Zakir Hussain",Satire/Comedy,[30]
28,MAR,15.0,3G - A Killer Connection,"Shantanu, Sheershak Anand","Neil Nitin Mukesh, Sonal Chauhan",Romance/Thriller,[31]
29,MAR,15.0,Mere Dad Ki Maruti,Ashima Chibber,"Saqib Saleem, Ram Kapoor, Rhea Chakraborty, Prabal Panjabi",Comedy,[32]
30,MAR,15.0,Jolly LLB,Subhash Kapoor,"Arshad Warsi, Amrita Rao, Boman Irani, Saurabh Shukla",Comedy/Satire,[33]
31,MAR,20.0,Rangrezz,Priyadarshan,"Jackky Bhagnani, Priya Anand, Rajpal Yadav, Evelyn Sharma",Action,[34]
32,MAR,22.0,The Adventures of Sinbad,"Shinjan Neogi, Abhishek Panchal","Vaibhav, Manju",Adventure,[35]
33,MAR,29.0,Himmatwala,Sajid Khan,"Ajay Devgn, Tamannaah, Mahesh Manjrekar, Riteish Deshmukh",Action/Comedy,[36]
34,APR,5.0,Chashme Baddoor,David Dhawan,"Ali Zafar, Siddharth, Taapsee Pannu, Divyendu Sharma[37]",Comedy/Romance,
35,APR,12.0,Nautanki Saala,Rohan Sippy,"Ayushmann Khurrana, Kunaal Roy Kapur, Pooja Salvi, Evelyn Sharma[38]",Comedy/Romance,
36,APR,12.0,Commando: A One Man Army,Dilip Ghosh,"Vidyut Jamwal, Pooja Chopra, Jaideep Ahlawat[39]",Action/Romance,
37,APR,19.0,Ek Thi Daayan,Kannan Iyer,"Emraan Hashmi, Huma Qureshi, Konkona Sen Sharma, Kalki Koechlin[40]",Horror,
38,APR,26.0,Aashiqui 2,Mohit Suri,"Aditya Roy Kapur, Shraddha Kapoor, Shaad Randhawa[41]",Musical/Romance,
39,APR,26.0,Shree,Rajesh Bachchani,"Hussain Kuwajerwala, Paresh Ganatra, Anjali Patil[42]",Thriller,
40,MAY,3.0,Shootout at Wadala,Sanjay Gupta,"John Abraham, Anil Kapoor, Kangana Ranaut, Manoj Bajpayee, Sonu Sood, Tushar Kapoor, Ronit Roy, Mahesh Manjrekar, Karan Patel, Jackie Shroff, Raju Kher[43]",Crime/Thriller,
41,MAY,3.0,Bombay Talkies,"Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee","Rani Mukerji, Nawazuddin Siddiqui, Randeep Hooda, Saqib Saleem, Sadashiv Amrapurkar, Katrina Kaif[44]",Anthology,
42,MAY,3.0,Chhota Bheem and the Throne of Bali,Rajiv Chilaka,,Children/Animation,[45]
43,MAY,4.0,Savita Bhabhi,Puneet Agarwal,Rozlyn Khan,Adult Animation,[46]
44,MAY,10.0,Go Goa Gone,"Raj Nidimoru, Krishna D.K.","Saif Ali Khan, Kunal Khemu, Vir Das, Puja Gupta[47]",Zombie Comedy,
45,MAY,10.0,Gippi,Sonam Nair,"Riya Vij, Divya Dutta, Taaha Shah[48]",Coming of age,
46,MAY,17.0,Aurangzeb,Atul Sabharwal,"Arjun Kapoor, Prithviraj Sukumaran, Jackie Shroff, Rishi Kapoor, Sasha Agha[49]",Drama/Action,
47,MAY,17.0,I Don't Luv U,Amit Kasaria,"Ruslaan Mumtaz, Chetna Pande[50]",Romantic Drama,
48,MAY,17.0,Beehad - The Ravines,Krishna Mishra,"Vikas Shrivastav, Maan Singh Deep, Mangal Singh, Deepa",Drama,
49,MAY,24.0,Ishkq in Paris,Prem Raj,"Preity Zinta, Rhehan Malliek, Isabelle Adjani[51]",Romance,
50,MAY,24.0,Hum Hai Raahi Car Ke,Jyotin Goel,"Adah Sharma, Dev Goel, Sanjay Dutt, Juhi Chawla, Chunky Pandey[52]",Romantic comedy,
51,MAY,24.0,Zindagi 50-50,Rajiv S. Ruia,"Riya Sen, Rajan Verma, Veena Malik, Arya Babbar, Supriya Kumari, Rajpal Yadav[53]",Adult/Social,
