,Opening,Opening.1,Title,Genre,Director,Cast,Ref
62,AUG,5.0,I Am Kalam,Drama,Nila Madhab Panda,"Harsh Mayar, Gulshan Grover",[44]
63,AUG,5.0,Milta Hai Chance By Chance,Comedy/Romance,Ramesh Modi,"Gracy Singh, Aslam Khan, Vishal Kaushik, Sana Govi, Reshma Modi, Mahesh Thakur",[45]
64,AUG,5.0,Warning,Horror,Karan Razdan,"Jannat Zubair Rahmani, Atul Kulkarni, Rituparna Sengupta, Anupam Kher, Satish Kaushik, Ila Arun",[46]
65,AUG,12.0,Aarakshan,Social,Prakash Jha,"Amitabh Bachchan, Saif Ali Khan, Manoj Bajpai, Deepika Padukone, Prateik Babbar",[47]
66,AUG,12.0,Phhir,Thriller,Girish Dhamija,"Rajneesh Duggal, Adah Sharma, Roshni Chopra",[48]
67,AUG,19.0,Chatur Singh Two Star,Comedy,Ajay Chandok,"Sanjay Dutt, Ameesha Patel, Suresh Menon",[49]
68,AUG,19.0,Not a Love Story,Crime,Ram Gopal Varma,"Mahie Gill, Deepak Dobriyal, Ajay Gehi",[50]
69,AUG,19.0,Sahi Dhandhe Galat Bande,Comedy,Parvin Dabas,"Parvin Dabas, Sharat Saxena, Vansh Bharadwaj, Anupam Kher, Ashish Nayyar, Kuldip Ruhil",[51]
70,AUG,26.0,Chitkabrey – Shades of Grey,Social,Suneet Arora,"Ravi Kissen, Rahul Singh, Rajesh Shringapure, Sanjay Swaraj, Akshay Singh, Bobby Vats, Divya Dwivedi",[52]
71,AUG,26.0,Shabri,Action,Lalit Marathe,Isha Koppikar,[53]
72,AUG,26.0,Yeh Dooriyan,Romance,Deepshika,"Deepshika, Kaishav Arora",[54]
73,AUG,31.0,Bodyguard,Romance/Action,Siddique,"Salman Khan, Kareena Kapoor, Hazel Keech",[55]
74,AUG,31.0,Mummy Punjabi,Comedy,Pammi Somal,"Kirron Kher, Jackie Shroff, Divya Dutta",[56]
75,SEP,2.0,That Girl in Yellow Boots,Social,Anurag Kashyap,"Kalki Koechlin, Naseeruddin Shah",[57]
76,SEP,9.0,Mere Brother Ki Dulhan,Romance/Comedy,Ali Abbas Zafar,"Katrina Kaif, Imran Khan, Ali Zafar, Tara D'Souza",[58]
77,SEP,16.0,Rivaaz,Social,Ashok Nanda,"Deepti Naval, Reema Lagoo, Meghna Naidu",[59]
78,SEP,23.0,Mausam,Romance,Pankaj Kapoor,"Shahid Kapoor, Sonam Kapoor, Anupam Kher",[60]
79,SEP,23.0,Breakaway,Drama,Robert Lieberman,"Vinay Virmani, Camilla Belle, Rob Lowe, Anupam Kher, Russell Peters, Akshay Kumar",[61]
80,SEP,23.0,U R My Jaan,Romance,Aron Govil,"Mikaal Zulfikaar, Priti Soni, Aman Verma",[62]
81,SEP,30.0,Force,Action,Nishikant Kamat,"John Abraham, Vidyut Jammwal, Genelia D'Souza",[63]
82,SEP,30.0,Hum Tum Shabana,Romance/Comedy,Sagar Ballary,"Tusshar Kapoor, Shreyas Talpade, Minnisha Lamba",[64]
83,SEP,30.0,"Saheb, Biwi Aur Gangster",Action/Thriller,Tigmanshu Dhulia,"Jimmy Sheirgill, Mahie Gill, Randeep Hooda",[65]
84,SEP,30.0,Tere Mere Phere,Romantic/Comedy,Deepa Sahi,"Vinay Pathak, Riya Sen, Jagrat Desai, Sasha Goradia",[66]
85,SEP,30.0,Chargesheet,Drama/Thriller,Dev Anand,"Dev Anand, Jackie Shroff, Naseeruddin Shah, Divya Dutta",[67]
86,SEP,30.0,Na Jaane Kabse Hum Hi,Romance,Pammi Somal,"Garry Gill, Amrita Prakash, Sharat Saxena, Gurpreet Ghuggi, Lilette Dubey, Javed Sheikh",[68]
87,SEP,,,,,,
88,SEP,,,,,,
89,OCT,6.0,Rascals,Comedy/Action,David Dhawan,"Ajay Devgn, Arjun Rampal, Kangana Ranaut, Lisa Haydon, Sanjay Dutt",[69]
90,OCT,7.0,Love Breakups Zindagi,Romantic,Sahil Sangha,"Zayed Khan, Dia Mirza, Cyrus Sahukar, Tisca Chopra, Satyadeep Mishra, Auritra Ghosh, Pallavi Sharda",[70]
91,OCT,14.0,My Friend Pinto,Romance/Comedy/Crime,Raghav Dar,"Prateik Babbar, Kalki Koechlin, Arjun Mathur, Shruti Seth, Makarand Deshpande, Rajendranath Zutshi, Divya Dutta",[71]
92,OCT,14.0,Mujhse Fraaandship Karoge,Comedy/Romance,Nupur Asthana,"Saqib Saleem, Saba Azad, Nishant Dahiya, Tara D'Souza",[72]
93,OCT,14.0,Mod,Romance/Drama,Nagesh Kukunoor,"Ayesha Takia, Rannvijay Singh, Raghubir Yadav, Tanvi Azmi, Anant Mahadevan",
94,OCT,14.0,Aazaan,Action/Thriller,Prashant Chadha,"Sachiin J. Joshi, Candice Boucher, Aarya Babbar, Dalip Tahil",[73]
95,OCT,20.0,Oh God! Saare Hain Fraud,Comedy,Ashu Trikha,"Shreyas Talpade, Mugdha Godse, Johnny Lever",
96,OCT,26.0,Ra.One,Action/Sci-Fi,Anubhav Sinha,"Shah Rukh Khan, Kareena Kapoor, Arjun Rampal, Shahana Goswami, Sanjay Dutt, Priyanka Chopra",[74]
97,OCT,27.0,Tell Me O Kkhuda,Drama,"Mayur Puri, Hema Malini","Esha Deol, Vinod Khanna, Rishi Kapoor, Arjan Bajwa, Dharmendra, Salman Khan",[75]
98,OCT,27.0,Damadamm!,Comedy,Swapna Waghmare,"Himesh Reshammiya, Purbi Joshi, Sonal Sehgal",[76]
99,NOV,4.0,Loot,Comedy,Rajneesh Thakur,"Govinda, Suniel Shetty, Javed Jaffrey, Shweta Bhardwaj, Mahakshay Chakraborty",
