,Opening,Opening.1,Title,Director,Cast,Genre
0,JAN,8.0,Dulha Mil Gaya,Muddassar Aziz,"Fardeen Khan, Ishita Sharma, Sushmita Sen, Shahrukh Khan, Tara Sharma, Anushka Manchanda, Mohit Chadda, Vivek Vaswani, Johnny Lever",Romantic comedy
1,JAN,8.0,Pyaar Impossible!,Jugal Hansraj,"Priyanka Chopra, Uday Chopra, Anupam Kher, Dino Morea",Romantic comedy
2,JAN,15.0,Chance Pe Dance,Ken Ghosh,"Shahid Kapoor, Genelia D'Souza","Romance, Dance"
3,JAN,15.0,Hello! Hum Lallan Bol Rahe Hain,Dileep Shukla,"Rajpal Yadav, Preeti Mehra",Comedy
4,JAN,22.0,Veer,Anil Sharma,"Salman Khan, Zarine Khan, Mithun Chakraborty, Sohail Khan, Jackie Shroff",Epic film
5,JAN,29.0,Ishqiya,Abhishek Chaubey,"Naseeruddin Shah, Vidya Balan, Arshad Warsi","Black comedy, Romance"
6,JAN,29.0,Rann,Ram Gopal Varma,"Amitabh Bachchan, Sudeep, Ritesh Deshmukh, Paresh Rawal, Rajpal Yadav, Gul Panag, Rajat Kapoor, Suchitra Krishnamurthy, Neetu Chandra, Mohnish Behl","Drama, Thriller"
7,JAN,29.0,Road To Sangam,Amit Rai,"Paresh Rawal, Om Puri, Javed Sheikh",Drama
8,FEB,5.0,The Hangman,Vishal Bhandari,"Om Puri, Shreyas Talpade, Gulshan Grover, Smita Jaykar, Tom Alter, Anita Kanwar, Yatin Karyekar, Nazneen Ghaani, Amrita Bedi",Drama
9,FEB,5.0,Striker,Chandan Arora,"Siddharth Narayan, Aditya Pancholi, Ankur Vikal, Anupam Kher, Seema Biswas",Action
10,FEB,12.0,My Name Is Khan,Karan Johar,"Shahrukh Khan, Kajol, Jimmy Shergill",Drama
11,FEB,12.0,Sukhmani: Hope for Life,Manjeet Mann,"Gurdas Maan, Juhi Chawla, Divya Dutta",Drama
12,FEB,19.0,Aakhari Decision,Deepak Bandhu,"Anant Jog, Nagesh Bhonsle, Mushtaq Khan",Action
13,FEB,19.0,Click,Sangeeth Sivan,"Shreyas Talpade, Sadha, Sneha Ullal",Horror
14,FEB,19.0,Toh Baat Pakki!,Kedarh Shinde,"Tabu, Sharman Joshi, Vatsal Sheth, Uvika Choudhary, Ayub Khan, Vishal Malhotra",Romantic comedy
15,FEB,26.0,Karthik Calling Karthik,Vijay Lalwani,"Farhan Akhtar, Deepika Padukone, Ram Kapoor, Shefali Shah",Thriller
16,FEB,26.0,Teen Patti,Leena Yadav,"Amitabh Bachchan, Ben Kingsley, R. Madhavan, Saira Mohan, Raima Sen, Mahesh Manjrekar, Shraddha Kapoor","Drama, Thriller"
