,Opening,Opening.1,Title,Director,Cast,Genre,Source
0,JAN,2,International Hero,Sanjay Niranjan,"Nakul Vaid, Jatin Grewal, Gurleen Choter",Drama,[11]
1,JAN,2,Mumbai Can Dance Saala,Sachindra Sharma,"Ashima Sharma, Prashant Narayanan, Aditya Pancholi, Mukesh Tiwari",Thriller,[12]
2,JAN,2,Take It Easy,Sunil Prem Vyas,"Vikram Gokhale, Dipannita Sharma, Raj Zutshi, Anang Desai, Joy Sengupta, Sulabha Arya, Vijay Kashyap",Drama,[13]
3,JAN,9,Tevar,Amit Sharma,"Arjun Kapoor, Sonakshi Sinha, Raj Babbar, Manoj Bajpai","Action, Romance",[14][15]
4,JAN,16,Alone,Bhushan Patel,"Bipasha Basu, Karan Singh Grover",Horror,[16]
5,JAN,16,Crazy Cukkad Family,Ritesh Menon,"Swanand Kirkire, Shilpa Shukla, Ninad Kamat, Kushal Punjabi, Kiran Karmarkar, Yusuf Hussain",Comedy,[17][18]
6,JAN,16,Sharafat Gayi Tel Lene,Gurmmeet Singh,"Zayed Khan, Tina Desai, Rannvijay Singh, Talia Benson, Anupam Kher","Comedy, Thriller",[19][20]
7,JAN,23,Baby,Neeraj Pandey,"Akshay Kumar, Taapsee Pannu, Rana Daggubati, Anupam Kher, Kay Kay Menon, Danny Denzongpa",Thriller,[21]
8,JAN,23,Dolly Ki Doli,Abhishek Dogra,"Sonam Kapoor, Pulkit Samrat, Rajkummar Rao, Varun Sharma","Romantic, Comedy",[22][23]
9,JAN,30,Chal Guru Ho Ja Shuru,Manoj Sharma,"Hemant Pandey, Chandrachur Singh, Sanjay Mishra, Manoj Pahwa",Comedy,
10,JAN,30,Hawaizaada,Vibhu Puri,"Ayushmann Khurrana, Pallavi Sharda",Drama,[24][25]
11,JAN,30,Khamoshiyan,Karan Dara,"Gurmeet Choudhary, Ali Fazal, Sapna Pabbi",Horror,[26][27]
12,JAN,30,Rahasya,Manish Gupta,"Tisca Chopra, Ashish Vidyarthi, Kay Kay Menon",Mystery,[28]
13,FEB,6,Jai Jawaan Jai Kisaan,Milan Ajmera,"Jatin Khurana, Om Puri, Prem Chopra, Rati Agnihotri, Rishi Bhutani, Sanjay Chakraborty, Akhilesh Jain",Drama,[29]
14,FEB,6,Shamitabh,R. Balki,"Amitabh Bachchan, Dhanush, Akshara Haasan",Drama,[23][30]
15,FEB,13,MSG: The Messenger,"Gurmeet Ram Rahim Singh, Jeetu Arora","Gurmeet Ram Rahim Singh, Daniel Kaleb, Flora Saini, Jayshree Soni, Olexandra Semen, Gaurav Gera, Jay Singh Rajpoot, Himanshu Tiwari","Action, Drama",[31]
16,FEB,13,Roy,Vikramjit Singh,"Ranbir Kapoor, Jacqueline Fernandez, Arjun Rampal","Romance, Thriller",[32][33]
17,FEB,20,Badlapur,Sriram Raghavan,"Varun Dhawan, Nawazuddin Siddiqui, Huma Qureshi, Yami Gautam, Vinay Pathak, Divya Dutta","Action, Thriller",[34][35]
18,FEB,20,Qissa,Anup Singh,"Irrfan Khan, Tillotama Shome, Tisca Chopra, Faezeh Jalali, Rasika Duggal",Historical Drama,[36]
19,FEB,27,Ab Tak Chhappan 2,Aejaz Gulab,"Nana Patekar, Ashutosh Rana, Vikram Gokhale, Gul Panag","Crime, Drama",[37]
20,FEB,27,Dum Laga Ke Haisha,Sharat Katariya,"Ayushmann Khurrana, Bhumi Pednekar",Comedy,[38][39]
21,MAR,4,Badmashiyaan,Amit Khanna,"Suzzanna Mukherjee, Sidhant Gupta, Gunjan Malhotra, Sharib Hashmi, Karan Mehra",Romantic comedy,[40]
22,MAR,4,Coffee Bloom,Manu Warrier,"Arjun Mathur, Sugandha Garg, Mohan Kapur","Romance, Drama",[41]
23,MAR,4,Dirty Politics,K. C. Bokadia,"Mallika Sherawat, Naseeruddin Shah, Jackie Shroff, Atul Kulkarni, Anupam Kher, Ashutosh Rana",Political Drama,[42][43]
24,MAR,4,Hey Bro,Ajay Chandhok,"Ganesh Acharya, Nupur Sharma, Maninder Singh","Comedy, Action",[44]
25,MAR,13,NH10,Navdeep Singh,"Anushka Sharma, Neil Bhoopalam, Darshan Kumar",Thriller,[45]
26,MAR,20,Dilliwali Zaalim Girlfriend,Japinder Kaur,"Divyendu Sharma, Jackie Shroff, Prachi Mishra, Ira Dubey",Comedy,
27,MAR,20,Hunterrr,Harshavardhan Kulkarni,"Gulshan Devaiah, Radhika Apte, Sai Tamhankar",Comedy,[46]
28,MAR,27,Barkhaa,Shadaab Mirza,"Sara Loren, Taaha Shah, Shweta Pandit, Priyanshu Chatterjee",Romance,[47]
29,MAR,27,Yahaan Sabki Lagi Hai,"Satavisha Bose, Cyrus R. khambhata","Varun Thakur, Eden Shyodhi, Heerok Das, Teeshay Shah",Social,
30,APR,3,Detective Byomkesh Bakshy!,Dibakar Banerjee,"Sushant Singh Rajput, Anand Tiwari, Swastika Mukherjee, Divya Menon, Neeraj Kabi, Meiyang Chang",Thriller,[48]
31,APR,3,Luckhnowi Ishq,Aanand Raut,"Adhyayan Suman, Karishma Kotak",Romance,[49]
32,APR,10,Dharam Sankat Mein,Fuwad Khan,"Naseeruddin Shah, Paresh Rawal, Annu Kapoor, Murali Sharma",Drama,[50]
33,APR,10,Ek Paheli Leela,Bobby Khan,"Sunny Leone, Jay Bhanushali, Mohit Ahlawat, Rajneesh Duggal, Rahul Dev, Jas Arora",Musical,[51]
34,APR,17,Court,Chaitanya Tamhane,"Vira Satidhar, Vivek Gombher, Geetanjali Kulkarni",Drama,[52]
35,APR,17,Margarita with a Straw,Shonali Bose,"Kalki Koechlin, Revathi, Hussain Dalal",Drama,
36,APR,17,Mr. X,Vikram Bhatt,"Emraan Hashmi, Amyra Dastur",Sci fi/thriller,[53][54]
37,APR,17,NH-8 Road to Nidhivan,Munindra Gupta,"Auroshikha Dey, Ravneet Kaur, Satyakam Anand, Arjun Fauzdar, Swaroopa Ghosh",Horror,[55]
38,APR,17,Ek Adbhut Dakshina Guru Dakshina,Kiran Phadnis,"Rajeev Govinda Pillai, Rajesh Shringarpure, Sulagna Panigrahi, Girish Karnad, Roopa Ganguly",Dance/drama,[56]
39,APR,24,Ishq Ke Parindey,Shakir Khan,"Rishi Verma, Priyanka Mehta, Manjul Aazad, Yasir Iftikhar Khan",Romance,[57]
40,APR,24,Kaagaz Ke Fools,Anil Kumar Chaudhary,"Vinay Pathak, Mugdha Godse, Raima Sen, Saurabh Shukla, Rajendra Sethi, Amit Behl",Comedy,[58]
41,MAY,1,Gabbar Is Back,Krish,"Akshay Kumar, Shruti Haasan, Suman",Crime/action,[59][60][61][62]
42,MAY,1,Sabki Bajegi Band,Anirudh Chawla,"Sumeet Vyas, Swara Bhaskar, Alekh Sangal, Shaurya Chauhan, Amol Parashar",Thriller/drama,[63]
43,MAY,8,Kuch Kuch Locha Hai,Devang Dholakia,"Ram Kapoor, Sunny Leone, Evelyn Sharma, Navdeep Chabbra",Comedy,
44,MAY,8,Piku,Shoojit Sircar,"Amitabh Bachchan, Deepika Padukone, Irrfan Khan, Moushumi Chatterjee, Jisshu Sengupta",Comedy/drama,[64][65]
45,MAY,15,Bombay Velvet,Anurag Kashyap,"Ranbir Kapoor, Anushka Sharma, Karan Johar, Kay Kay Menon",Crime/drama,[66]
46,MAY,22,Main Hoon Part-Time Killer,Faisal Saif,"Adithya Menon, Kavita Radheshyam","Spoof, comedy, thriller",[54][67]
47,MAY,22,Tanu Weds Manu: Returns,Anand L. Rai,"R. Madhavan, Kangana Ranaut",Romance/comedy,[54][68]
48,MAY,27,Waiting,Anu Menon,"Naseeruddin Shah, Kalki Koechlin, Arjun Mathur, Rajat Kapoor, Suhasini Maniratnam",Drama,[69][70]
49,MAY,29,I Love Desi,Pankaj Batra,"Vedant Bali, Priyanka Shah, Gulshan Grover",Comedy,[54][71]
50,MAY,29,Ishqedarriyaan,V. K. Prakash,"Mahaakshay Chakraborty, Evelyn Sharma, Kavin Dave, Mohit Dutta",Drama,[72]
51,MAY,29,P Se PM Tak,Kundan Shah,"Meenakshi Dixit, Rocky Verma, Bharat Jadhav, Yashpal Sharma",Comedy,[54][73]
52,MAY,29,Welcome 2 Karachi,Ashish R Mohan,"Arshad Warsi, Jackky Bhagnani, Lauren Gottlieb, Ayub Khoso, Adnan Shah, Imran Hasnee",Comedy,[74][75]
53,JUN,5,Dil Dhadakne Do,Zoya Akhtar,"Anil Kapoor, Shefali Shah, Priyanka Chopra, Ranveer Singh, Anushka Sharma, Farhan Akhtar, Rahul Bose, Zarina Wahab",Drama,[76][77]
54,JUN,5,Mere Genie Uncle,Ashish Bhavsar,"Tiku Talsania, Swati Kapoor, Shakti Kapoor, Ehsaan Qureshi",Drama,[78]
55,JUN,12,Hamari Adhuri Kahani,Mohit Suri,"Emraan Hashmi, Vidya Balan, Rajkummar Rao",Romance/drama,[54][79]
56,JUN,19,ABCD 2,Remo D'Souza,"Varun Dhawan, Shraddha Kapoor, Prabhu Deva, Lauren Gottlieb, Dharmesh Yelande, Punit Pathak, Raghav Juyal",Dance,[80]
57,JUN,26,Miss Tanakpur Haazir Ho,Vinod Kapri,"Annu Kapoor, Om Puri, Rahul Bagga, Hrishitaa Bhatt",Comedy/drama,[81]
58,JUN,26,Uvaa,Jasbir Bhaati,"Om Puri, Jimmy Sheirgill, Sangram Singh, Archana Puran Singh",Social/comedy,[82]
59,JUN,26,Lion of Gujarat,Dinesh Lamba,"Dinesh Lamba, Akruti Agrawal, Homi Wadia",Action,
60,JUL,3,Bezubaan Ishq,Jashwant Gangani,"Nishant Singh Malkani, Mugdha Godse, Sneha Ullal",Romance,[83]
61,JUL,3,Guddu Rangeela,Subhash Kapoor,"Arshad Warsi, Aditi Rao Hydari, Amit Sadh",Comedy,[84]
62,JUL,3,Second Hand Husband,Smeep Kang,"Gippy Grewal, Tina Ahuja, Dharmendra",Drama,[85]
63,JUL,10,I Love NY,Radhika Rao,"Sunny Deol, Kangana Ranaut",Romance/drama,[86][87]
64,JUL,10,Thoda Lutf Thoda Ishq,Sachin Gupta,"Hiten Tejwani, Sanjay Mishra",Romance/drama,[87][86]
65,JUL,17,Bajrangi Bhaijaan,Kabir Khan,"Salman Khan, Kareena Kapoor, Nawazuddin Siddiqui, Harshaali Malhotra","Action, comedy, drama",[88][89]
66,JUL,24,Aisa Yeh Jahaan,Biswajeet Bora,"Palash Sen, Ira Dubey, Kymsleen Kholie, Yashpal Sharma",Drama,[90]
67,JUL,24,Masaan,Neeraj Ghaywan,"Richa Chadha, Vicky Kaushal, Sanjay Mishra, Shweta Tripathi",Drama,[91]
68,JUL,31,Drishyam,Nishikant Kamat,"Ajay Devgn, Tabu, Shriya Saran, Rajat Kapoor",Drama/thriller,[92][93]
69,AUG,7,Bangistan,Karan Anshuman,"Riteish Deshmukh, Pulkit Samrat",Comedy,[94]
70,AUG,14,Brothers,Karan Malhotra,"Akshay Kumar, Sidharth Malhotra, Jacqueline Fernandez, Jackie Shroff, Conan Stevens",Drama,[95][96][97]
71,AUG,14,Gour Hari Dastaan,Ananth Narayan Mahadevan,"Vinay Pathak, Konkona Sen Sharma, Ranvir Shorey, Tannishtha Chatterjee",Drama,[98]
72,AUG,21,All Is Well,Umesh Shukla,"Abhishek Bachchan, Asin Thottumkal, Rishi Kapoor, Supriya Pathak",Drama,[99]
